#!Stats	378333	0.416580
#A+DQ083238
>A+DQ083238 9699 1=A1+AF004885.fa 2=A1+AF069670.fa 3=A1+AF484509.fa 4=A1+U51190.fa 5=A2+AF286237.fa 6=A2+AF286238.fa 7=B+AY173951.fa 8=B+AY331295.fa 9=B+AY423387.fa 10=B+K03455.fa 11=C+AF067155.fa 12=C+AY772699.fa 13=C+U46016.fa 14=C+U52953.fa 15=D+AY371157.fa 16=D+K03454.fa 17=D+U88824.fa 18=F1+AF005494.fa 19=F1+AF075703.fa 20=F1+AF077336.fa 21=F1+AJ249238.fa 22=F2+AF377956.fa 23=F2+AJ249236.fa 24=F2+AJ249237.fa 25=F2+AY371158.fa 26=G+AF061641.fa 27=G+AF061642.fa 28=G+AF084936.fa 29=H+AF005496.fa 30=H+AF190127.fa 31=H+AF190128.fa 32=J+AF082394.fa 33=J+AF082395.fa 34=K+AJ249235.fa 35=K+AJ249239.fa 36=N+AJ006022.fa 37=N+AJ271370.fa 38=N+AY532635.fa 39=O+AJ302647.fa 40=O+AY169812.fa 41=O+L20571.fa 42=O+L20587.fa
0	8	22	2
9	13	28	24
14	43	41	25
44	44	11	25,28
45	46	10	25,28,29,31
47	51	14	4,8,9,15,17,18,22,23
52	53	9	4,5,8,9,15,17,18,22,23,24
54	54	7	4,5,7,8,9,15,17,18,19,21,22,23,24,34,35
55	55	6	4,5,7,8,9,10,12,13,14,15,17,18,19,20,21,22,23,24,26,27,32,33,34,35,37
56	56	6	31
57	57	6	17
58	58	6	13
59	59	5	7,8,13,21,28,30,31,42
60	60	8	39,42
61	61	9	1
62	70	50	1
71	105	43	8
106	106	8	8,25
107	107	8	36,37,38
108	108	7	6,7,24,29,30,31,36,37,38
109	109	7	5,16,20,31,32,39,42
110	112	11	28
113	115	41	3
116	145	41	4
146	148	11	4,26
149	149	8	4,8,14,26
150	150	7	4,8,10,14,23,24,26
151	151	6	4,8,10,14,21,23,24,26
152	152	7	1,7,30
153	154	9	37,38
155	161	17	19,22
162	162	10	16,18,19,22,24
163	163	9	16,17,18,19,22,24,29
164	164	8	16,17,18,19,22,24,29,31
165	165	7	4,12,13,14,15,16,17,18,19,20,21,22,23,24,25,29,31
166	166	8	8
167	167	7	2,7,8
168	168	8	14,30
169	169	9	36,38
170	170	8	33,36,38
171	171	9	6,35
172	172	8	2,6,7,10,32,35
173	174	9	18,19,22
175	175	8	2,4,6,34,40
176	176	7	2,4,6,34,39,40,42
177	177	7	14,27,28
178	180	21	1,3
181	184	21	2
185	185	17	2,27
186	188	16	2,27,28
189	192	13	2,26,27,28
193	194	9	2,26,27,28,42
195	195	9	36
196	196	8	26,36
197	197	9	9
198	198	8	9,31
199	200	9	12,39
201	204	13	8
205	206	9	8,17
207	208	7	1,8,17,29
209	209	6	3,12,15
210	210	7	5
211	211	8	23,24,25,29
212	212	9	10
213	213	8	10,16,31
214	214	10	9,12,14,25
215	218	23	1
219	236	29	3
237	237	11	3,34
238	238	10	3,34,42
239	281	52	1
282	283	12	12
284	285	12	19
286	286	11	27
287	289	10	27,28
290	293	12	3
294	294	8	3,37,38
295	295	8	22
296	296	8	11
297	297	8	8,9,18,19,21,29,31
298	340	61	2
341	342	18	2,6
343	347	22	31
348	348	29	16
349	367	93	4
368	395	79	2
396	401	51	2,32
402	409	45	2,30,32,33
410	411	37	1,2,13,14,30,32,33
412	416	35	1,2,13,14,29,30,32,33
417	420	30	1,2,11,13,14,29,30,32,33
421	437	26	1,2,3,11,13,14,29,30,32,33
438	439	9	1,2,3,11,13,14,18,19,20,29,30,32,33
440	440	7	1,2,3,11,12,13,14,18,19,20,29,30,31,32,33
441	441	6	1,2,3,4,7,8,10,11,12,13,14,18,19,20,28,29,30,31,32,33,41
442	442	5	1,2,3,4,7,8,10,11,12,13,14,18,19,20,28,29,30,31,32,33,41,42
443	443	4	1,2,3,4,5,7,8,9,10,11,12,13,14,15,18,19,20,28,29,30,31,32,33,38,39,41,42
444	444	5	26
445	445	5	7,8,10,16,23,24,27
446	446	7	17
447	447	8	6
448	464	29	4
465	466	12	4,11,12,13,14,22
467	469	11	27,28,37
470	470	8	27,28,37,38
471	471	9	37
472	475	11	3
476	476	8	14,25,34,35,42
477	477	8	39
478	479	27	32,33
480	480	25	7,10,32,33
481	496	24	7,8,10,32,33
497	500	11	20
501	501	8	12,13,18,20,40,42
502	502	8	21
503	503	8	6,39
504	504	7	2,6,24,39
505	505	8	1,25
506	507	38	7,8,10,32,33
508	538	42	5
539	540	11	5,20
541	543	10	34
544	544	7	4,23,34
545	604	67	1,28
605	605	7	1,3,28
606	606	7	1,3,4,8,11,12,19,26,27
607	607	7	37,38
608	609	8	9
610	610	7	29
611	612	9	41
613	614	10	1
615	616	9	17
617	617	9	14
618	618	9	2,7,8,16,20,22,29
619	619	40	28
620	633	39	28,36,38
634	651	25	28,36,37,38
652	660	17	5
661	661	9	33
662	667	20	4
668	672	107	28
673	738	107	1
739	772	103	19
773	775	75	16
776	781	74	28
782	787	68	28,30
788	805	62	18,28,30
806	810	50	23,24,35
811	827	45	21,23,24,35
828	832	28	21,23,24,26,35
833	844	26	2,4
845	848	14	1,2,4
849	849	10	1,2,4,8
850	850	9	1,2,4,8,41
851	851	8	1,2,3,4,5,8,18,27,28,29,30,41
852	852	7	1,2,3,4,5,7,8,18,27,28,29,30,41
853	853	7	5
854	854	6	5,23,27,36
855	856	9	26
857	859	12	35
860	869	45	4
870	894	35	4,7
895	895	10	4,7,8,10
896	896	9	4,7,8,10,30
897	897	8	1,4,6,7,8,9,10,16,17,18,19,30
898	898	7	1,3,4,6,7,8,9,10,16,17,18,19,30
899	899	7	15,27,39,42
900	900	22	36,37,39,40
901	904	21	36,37,38,39,40,41
905	905	17	28,36,37,38,39,40,41
906	906	20	9
907	909	19	9,42
910	917	16	9,26,31,42
918	918	8	1,2,4,9,26,31,42
919	919	7	1,2,3,4,8,9,17,26,31,41,42
920	921	7	13
922	922	6	15,25,35
923	923	8	1,4
924	924	7	1,4,30
925	925	7	18,19,28
926	926	7	6,11,12,13,14,22,23,24,25,27,34,37
927	929	22	31
930	930	19	29,30,31
931	931	24	2
932	946	23	1,2,4
947	947	8	1,2,4,23
948	948	9	11
949	949	8	11,37
950	951	9	3
952	952	7	3,38
953	953	8	5,36,39,40,42
954	954	8	14,17
955	955	8	24
956	956	9	1,2,4,23
957	958	16	29
959	964	14	21,29
965	965	8	15,21,29
966	974	22	2,4
975	977	13	1,2,4,26,27
978	979	11	11
980	980	11	31
981	982	11	29,42
983	983	15	7,9,10,16
984	986	14	7,9,10,16,19
987	988	11	7,9,10,16,17,19
989	992	11	4
993	993	8	8,21
994	994	9	10
995	995	9	23
996	996	9	14
997	997	8	14,28
998	1000	11	2
1001	1005	12	13
1006	1007	21	30
