>1
1	454	-1.0000	4
455	466	-1.0000	2 3 4 5
467	1151	-1.0000	2 3 4
1152	1331	-1.0000	5
1332	1638	-1.0000	2 3 4 5
1639	2331	-1.0000	2 3 4
2332	3151	-1.0000	2 3 4 5
3152	3259	-1.0000	2 3 4
3260	3386	-1.0000	5
3387	3418	-1.0000	2 3 4 5
3419	3555	-1.0000	5
3556	3923	-1.0000	2 3 4 5
3924	4292	-1.0000	2 3 4
4293	4578	-1.0000	2 3 4 5
4579	5054	-1.0000	2 3 4
5055	5772	-1.0000	4
5773	5809	-1.0000	2 3 5
5810	6156	-1.0000	2
6157	6255	-1.0000	2 3 5
6256	6513	-1.0000	2 3 4 5
6514	6692	-1.0000	2 3 5
6693	6729	-1.0000	2 3 4 5
6730	6861	-1.0000	2 3 5
6862	7005	-1.0000	2 3 4 5
7006	7086	-1.0000	3 5
7087	7680	-1.0000	2 3 4 5
7681	7734	-1.0000	2 3 5
7735	8377	-1.0000	4
8378	8508	-1.0000	2 3 4 5
8509	8521	-1.0000	4
8522	8649	-1.0000	2 3 4 5
8650	8780	-1.0000	4
8781	8898	-1.0000	3 5
8899	9028	-1.0000	2 3 4 5
9029	9228	-1.0000	3 5
9229	9232	-1.0000	2 3 4 5
9233	9349	-1.0000	3 5
9350	9857	-1.0000	2
9858	9963	-1.0000	2 3 4 5
9964	10000	-1.0000	2 4
